,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U305,AND2X4,(net_153 & (net_249 | net_260)),"['net_153', 'net_249', 'net_260']","[0.75, 0.25, 0.25]",0.4166666666666667,0.25,3
0,U302,ISOLORX8,((net_239 | (net_241 | (net_1 | net_242))) | (net_251 | (net_252 | (net_250 | net_253)))),"['net_1', 'net_239', 'net_241', 'net_242', 'net_250', 'net_251', 'net_252', 'net_253']","[0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125]",0.0078125,0.0078125,8
0,U301,OR4X4,(((! net_98) | ((! net_97) | ((! net_258) | (! net_259)))) | (((! net_257) | ((! net_96) | ((! net_94) | (! net_95)))) | (((! net_88) | ((! net_87) | ((! net_85) | (! net_86)))) | ((! net_93) | ((! net_256) | ((! net_254) | (! net_255))))))),"['net_254', 'net_255', 'net_256', 'net_257', 'net_258', 'net_259', 'net_85', 'net_86', 'net_87', 'net_88', 'net_93', 'net_94', 'net_95', 'net_96', 'net_97', 'net_98']","[0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0, 0.0, 0.0]",1.8750000000000002e-05,0.0,16
0,U300,NAND4X1,((! net_98) | ((! net_97) | ((! (net_137 ^ net_218)) | (! (net_97 ^ net_98))))),"['net_137', 'net_218', 'net_97', 'net_98']","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,4
0,U299,NAND4X1,((! (net_100 ^ net_217)) | ((! (net_143 & net_157)) | ((! (net_157 & net_258)) | (! (net_157 & net_259))))),"['net_100', 'net_143', 'net_157', 'net_217', 'net_258', 'net_259']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",0.0625,0.0625,6
0,U298,NAND4X1,((! (net_157 & net_257)) | ((! (net_89 ^ net_90)) | ((! (net_215 ^ net_92)) | (! (net_138 ^ net_216))))),"['net_138', 'net_157', 'net_215', 'net_216', 'net_257', 'net_89', 'net_90', 'net_92']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",0.0625,0.0625,8
0,U297,NAND4X1,((! net_88) | ((! net_87) | ((! (net_169 & net_171)) | (! net_86)))),"['net_169', 'net_171', 'net_86', 'net_87', 'net_88']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",0.0625,0.0625,5
0,U296,OR4X4,(((! net_79) | ((! net_80) | ((! net_247) | (! net_81)))) | (((! net_246) | ((! net_70) | ((! net_68) | (! net_69)))) | (net_1 | ((! net_134) | ((! net_130) | ((! net_128) | (! net_154))))))),"['net_1', 'net_128', 'net_130', 'net_134', 'net_154', 'net_246', 'net_247', 'net_68', 'net_69', 'net_70', 'net_79', 'net_80', 'net_81']","[0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625, 0.000244140625]",0.000244140625,0.000244140625,13
0,U295,NAND4X1,((! net_79) | ((! net_80) | ((! (net_139 ^ net_223)) | (! net_81)))),"['net_139', 'net_223', 'net_79', 'net_80', 'net_81']","[0.125, 0.125, 0.125, 0.125, 0.125]",0.125,0.125,5
0,U294,NAND4X1,((! (net_222 ^ net_74)) | ((! (net_142 & net_177)) | ((! (net_177 & net_247)) | (! (net_177 & net_248))))),"['net_142', 'net_177', 'net_222', 'net_247', 'net_248', 'net_74']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",0.0625,0.0625,6
