,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,r330_U1_1_1,HADDX1,(net_619 & net_620),"['net_619', 'net_620']","[0.5, 0.5]",0.5,0.5,2
0,r330_U1_1_2,HADDX1,(net_621 & (net_619 & net_620)),"['net_619', 'net_620', 'net_621']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,r330_U1_1_3,HADDX1,(net_622 & (net_621 & (net_619 & net_620))),"['net_619', 'net_620', 'net_621', 'net_622']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,r336_U1_1_1,HADDX1,(net_624 & net_625),"['net_624', 'net_625']","[0.5, 0.5]",0.5,0.5,2
0,r336_U1_1_2,HADDX1,(net_626 & (net_624 & net_625)),"['net_624', 'net_625', 'net_626']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,r336_U1_1_3,HADDX1,(net_627 & (net_626 & (net_624 & net_625))),"['net_624', 'net_625', 'net_626', 'net_627']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U513,INVX0,(! ((! (((! ((! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26))))))))) & (((! net_626) | ((! ((! net_54) & (! net_55))) | ((! net_624) | (! net_625)))) & ((! ((! (net_53 ^ net_620)) | ((! ((! (net_621 ^ net_626)) & (! (net_619 ^ net_624)))) | ((! (net_55 ^ net_623)) | (! (net_54 ^ net_622)))))) & (! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))))))) | (! net_631)) & ((! ((! ((! ((! net_174) & (! net_181))) | ((! net_172) | (! (((! net_26) & (! net_609)) & net_612))))) | ((! ((! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))) | (! (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | ((! net_174) | (! net_181))))))) | ((! ((! ((! ((! (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_182) | (! ((! net_174) & (! net_181))))))) & (! (! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26)))))))))))) | ((! ((! ((! net_174) & (! net_181))) | ((! (((! net_26) & (! net_609)) & net_612)) | (! net_610)))) | (! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | (! (! ((! net_609) | (! net_611))))))))) & (! ((! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | ((! net_181) | (! net_609)))) | ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! (! ((! net_181) | (! net_613)))) | (! net_610)))) | (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_181) | (! (! ((! net_174) | (! net_182)))))))))))) | (! (! ((! (! ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! net_172) | (! (! ((! net_181) | (! net_613))))))) | (! ((! (! ((! net_181) | (! net_613)))) | ((! net_182) | (! ((! ((! ((! net_26) & (! net_609))) | (! net_610))) | (! ((! net_609) | ((! net_172) | (! (! net_26))))))))))))) | (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | (! ((! net_174) & (! net_181)))))))))))) | (! net_608)))) | (! (! ((! (((! ((! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26))))))))) & (((! net_626) | ((! ((! net_54) & (! net_55))) | ((! net_624) | (! net_625)))) & ((! ((! (net_53 ^ net_620)) | ((! ((! (net_621 ^ net_626)) & (! (net_619 ^ net_624)))) | ((! (net_55 ^ net_623)) | (! (net_54 ^ net_622)))))) & (! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))))))) | (! net_630)) & ((! ((! ((! ((! net_174) & (! net_181))) | ((! net_172) | (! (((! net_26) & (! net_609)) & net_612))))) | ((! ((! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))) | (! (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | ((! net_174) | (! net_181))))))) | ((! ((! ((! ((! (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_182) | (! ((! net_174) & (! net_181))))))) & (! (! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26)))))))))))) | ((! ((! ((! net_174) & (! net_181))) | ((! (((! net_26) & (! net_609)) & net_612)) | (! net_610)))) | (! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | (! (! ((! net_609) | (! net_611))))))))) & (! ((! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | ((! net_181) | (! net_609)))) | ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! (! ((! net_181) | (! net_613)))) | (! net_610)))) | (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_181) | (! (! ((! net_174) | (! net_182)))))))))))) | (! (! ((! (! ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! net_172) | (! (! ((! net_181) | (! net_613))))))) | (! ((! (! ((! net_181) | (! net_613)))) | ((! net_182) | (! ((! ((! ((! net_26) & (! net_609))) | (! net_610))) | (! ((! net_609) | ((! net_172) | (! (! net_26))))))))))))) | (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | (! ((! net_174) & (! net_181)))))))))))) | (! net_593)))) | (! (! ((! (((! ((! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26))))))))) & (((! net_626) | ((! ((! net_54) & (! net_55))) | ((! net_624) | (! net_625)))) & ((! ((! (net_53 ^ net_620)) | ((! ((! (net_621 ^ net_626)) & (! (net_619 ^ net_624)))) | ((! (net_55 ^ net_623)) | (! (net_54 ^ net_622)))))) & (! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))))))) | (! net_629)) & ((! ((! ((! ((! net_174) & (! net_181))) | ((! net_172) | (! (((! net_26) & (! net_609)) & net_612))))) | ((! ((! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))) | (! (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | ((! net_174) | (! net_181))))))) | ((! ((! ((! ((! (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_182) | (! ((! net_174) & (! net_181))))))) & (! (! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26)))))))))))) | ((! ((! ((! net_174) & (! net_181))) | ((! (((! net_26) & (! net_609)) & net_612)) | (! net_610)))) | (! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | (! (! ((! net_609) | (! net_611))))))))) & (! ((! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | ((! net_181) | (! net_609)))) | ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! (! ((! net_181) | (! net_613)))) | (! net_610)))) | (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_181) | (! (! ((! net_174) | (! net_182)))))))))))) | (! (! ((! (! ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! net_172) | (! (! ((! net_181) | (! net_613))))))) | (! ((! (! ((! net_181) | (! net_613)))) | ((! net_182) | (! ((! ((! ((! net_26) & (! net_609))) | (! net_610))) | (! ((! net_609) | ((! net_172) | (! (! net_26))))))))))))) | (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | (! ((! net_174) & (! net_181)))))))))))) | (! net_592)))) | (! (! ((((! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26))))))))) & (((! net_626) | ((! ((! net_54) & (! net_55))) | ((! net_624) | (! net_625)))) & ((! ((! (net_53 ^ net_620)) | ((! ((! (net_621 ^ net_626)) & (! (net_619 ^ net_624)))) | ((! (net_55 ^ net_623)) | (! (net_54 ^ net_622)))))) & (! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607))))))))) & net_628) | (((! ((! ((! net_174) & (! net_181))) | ((! net_172) | (! (((! net_26) & (! net_609)) & net_612))))) | ((! ((! (! ((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))))) | (! (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | ((! net_174) | (! net_181))))))) | ((! ((! ((! ((! (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_182) | (! ((! net_174) & (! net_181))))))) & (! (! ((! ((! net_174) & (! net_181))) | ((! net_182) | (! (! ((! net_609) | ((! net_172) | (! (! net_26)))))))))))) | ((! ((! ((! net_174) & (! net_181))) | ((! (((! net_26) & (! net_609)) & net_612)) | (! net_610)))) | (! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | (! (! ((! net_609) | (! net_611))))))))) & (! ((! ((! ((! ((! net_174) | (! net_182))) & ((! net_172) & (! net_26)))) | ((! net_181) | (! net_609)))) | ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! (! ((! net_181) | (! net_613)))) | (! net_610)))) | (! ((! (! ((! ((! net_26) & (! net_609))) | (! net_610)))) | ((! net_181) | (! (! ((! net_174) | (! net_182)))))))))))) | (! (! ((! (! ((! ((! (((! net_26) & (! net_609)) & net_612)) | ((! net_172) | (! (! ((! net_181) | (! net_613))))))) | (! ((! (! ((! net_181) | (! net_613)))) | ((! net_182) | (! ((! ((! ((! net_26) & (! net_609))) | (! net_610))) | (! ((! net_609) | ((! net_172) | (! (! net_26))))))))))))) | (! ((! (! ((! (! ((! net_609) | ((! net_172) | (! (! net_26)))))) | (! net_612)))) | (! ((! net_174) & (! net_181))))))))))) & net_591)))))))))))),"['net_172', 'net_174', 'net_181', 'net_182', 'net_26', 'net_53', 'net_54', 'net_55', 'net_591', 'net_592', 'net_593', 'net_594', 'net_607', 'net_608', 'net_609', 'net_610', 'net_611', 'net_612', 'net_613', 'net_619', 'net_620', 'net_621', 'net_622', 'net_623', 'net_624', 'net_625', 'net_626', 'net_628', 'net_629', 'net_630', 'net_631']","[0.1194, 0.1767, 0.1606, 0.1227, 0.2699, 0.0, 0.0, 0.0001, 0.0202, 0.016, 0.0172, 0.0, 0.0, 0.0189, 0.1035, 0.0783, 0.0142, 0.0982, 0.0653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.041329032258064516,0.0,31
0,U514,NOR4X1,((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))),"['net_591', 'net_592', 'net_593', 'net_594', 'net_607', 'net_608']","[0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",0.03125,0.03125,6
0,U515,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
0,U516,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
