,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,r330_U1_1_1,HADDX1,(net_619 & net_620),"['net_619', 'net_620']","[0.5, 0.5]",0.5,0.5,2
0,r330_U1_1_2,HADDX1,(net_621 & (net_619 & net_620)),"['net_619', 'net_620', 'net_621']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,r330_U1_1_3,HADDX1,(net_622 & (net_621 & net_634)),"['net_621', 'net_622', 'net_634']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,r336_U1_1_1,HADDX1,(net_624 & net_625),"['net_624', 'net_625']","[0.5, 0.5]",0.5,0.5,2
0,r336_U1_1_2,HADDX1,(net_626 & (net_624 & net_625)),"['net_624', 'net_625', 'net_626']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,r336_U1_1_3,HADDX1,(net_627 & (net_626 & net_637)),"['net_626', 'net_627', 'net_637']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U513,INVX0,(! ((! net_201) | (! net_204))),"['net_201', 'net_204']","[0.5, 0.5]",0.5,0.5,2
0,U514,NOR4X1,((! (net_592 | (net_591 | net_593))) & ((! net_608) & ((! net_594) & (! net_607)))),"['net_591', 'net_592', 'net_593', 'net_594', 'net_607', 'net_608']","[0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",0.03125,0.03125,6
0,U515,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
0,U516,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
0,U517,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
0,U518,INVX2,(! net_25),['net_25'],[1.0],1.0,1.0,1
0,U519,XOR2X1,((net_202 & net_203) ^ ((net_392 & net_633) | (net_393 & net_607))),"['net_202', 'net_203', 'net_392', 'net_393', 'net_607', 'net_633']","[0.5, 0.5, 0.375, 0.375, 0.375, 0.375]",0.4166666666666667,0.375,6
0,U520,AND2X1,((((! net_392) | (! net_632)) & ((! net_393) | (! net_594))) & (! net_166)),"['net_166', 'net_392', 'net_393', 'net_594', 'net_632']","[0.5625, 0.1875, 0.1875, 0.1875, 0.1875]",0.2625,0.1875,5
