,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U1553,NAND2X0,((! net_1891) | (! net_2)),"['net_1891', 'net_2']","[0.5, 0.5]",0.5,0.5,2
0,U1554,NAND2X0,((! net_1891) | (! net_2)),"['net_1891', 'net_2']","[0.5, 0.5]",0.5,0.5,2
0,U1555,NAND3X0,((! net_2616) | ((! net_1863) | (! net_2))),"['net_1863', 'net_2', 'net_2616']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U1556,AO222X1,((net_2219 & net_957) | ((net_1441 & net_792) | (net_2220 & net_401))),"['net_1441', 'net_2219', 'net_2220', 'net_401', 'net_792', 'net_957']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U1557,AND4X1,(net_422 & (net_421 & (net_2282 & net_2286))),"['net_2282', 'net_2286', 'net_421', 'net_422']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U1558,AND4X1,(net_423 & (net_424 & (net_2111 & net_2282))),"['net_2111', 'net_2282', 'net_423', 'net_424']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U1559,AND2X1,(net_1517 & net_2277),"['net_1517', 'net_2277']","[0.5, 0.5]",0.5,0.5,2
0,U1560,NAND4X0,((! net_2278) | ((! net_426) | ((! net_1561) | (! net_2277)))),"['net_1561', 'net_2277', 'net_2278', 'net_426']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U1561,AOI222X1,(((! net_2194) | (! net_736)) & (((! net_2189) | (! net_396)) & ((! net_2193) | (! net_623)))),"['net_2189', 'net_2193', 'net_2194', 'net_396', 'net_623', 'net_736']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U1562,INVX0,(! net_2075),['net_2075'],[1.0],1.0,1.0,1
0,U1563,INVX0,(! net_2192),['net_2192'],[1.0],1.0,1.0,1
0,U1564,INVX0,(! net_2539),['net_2539'],[1.0],1.0,1.0,1
0,U1565,AO222X1,((net_2220 & net_399) | ((net_2189 & net_390) | (net_2219 & net_923))),"['net_2189', 'net_2219', 'net_2220', 'net_390', 'net_399', 'net_923']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U1566,AND4X1,(net_2252 & (net_422 & (net_423 & net_424))),"['net_2252', 'net_422', 'net_423', 'net_424']","[0.125, 0.125, 0.125, 0.125]",0.125,0.125,4
0,U1567,AO222X1,((net_2219 & net_678) | ((net_1441 & net_913) | (net_2220 & net_400))),"['net_1441', 'net_2219', 'net_2220', 'net_400', 'net_678', 'net_913']","[0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125]",0.28125,0.28125,6
0,U1568,INVX0,(! net_2529),['net_2529'],[1.0],1.0,1.0,1
0,U1569,INVX0,(! net_2530),['net_2530'],[1.0],1.0,1.0,1
0,U1570,INVX0,(! net_2538),['net_2538'],[1.0],1.0,1.0,1
0,U1571,AND2X1,(net_1515 & net_2277),"['net_1515', 'net_2277']","[0.5, 0.5]",0.5,0.5,2
0,U1572,NAND3X0,((! net_2288) | ((! net_2492) | (! net_422))),"['net_2288', 'net_2492', 'net_422']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U1573,AND2X1,(net_2110 & net_2277),"['net_2110', 'net_2277']","[0.5, 0.5]",0.5,0.5,2
0,U1574,AO22X1,((net_1447 & net_2277) | (net_2290 & net_2484)),"['net_1447', 'net_2277', 'net_2290', 'net_2484']","[0.375, 0.375, 0.375, 0.375]",0.375,0.375,4
0,U1575,AO22X1,((net_1477 & net_2042) | (net_1833 & net_2001)),"['net_1477', 'net_1833', 'net_2001', 'net_2042']","[0.375, 0.375, 0.375, 0.375]",0.375,0.375,4
0,U1576,AO221X1,((net_1441 & net_905) | ((net_2184 & net_402) | net_2239)),"['net_1441', 'net_2184', 'net_2239', 'net_402', 'net_905']","[0.1875, 0.1875, 0.5625, 0.1875, 0.1875]",0.2625,0.1875,5
0,U1577,AO221X1,((net_2238 & net_389) | ((net_2215 & net_385) | net_2217)),"['net_2215', 'net_2217', 'net_2238', 'net_385', 'net_389']","[0.1875, 0.5625, 0.1875, 0.1875, 0.1875]",0.2625,0.1875,5
0,U1578,AOI22X1,(((! net_1441) | (! net_675)) & ((! net_2184) | (! net_405))),"['net_1441', 'net_2184', 'net_405', 'net_675']","[0.375, 0.375, 0.375, 0.375]",0.375,0.375,4
0,U1579,AO221X1,((net_2184 & net_403) | ((net_1443 & net_978) | net_2229)),"['net_1443', 'net_2184', 'net_2229', 'net_403', 'net_978']","[0.1875, 0.1875, 0.5625, 0.1875, 0.1875]",0.2625,0.1875,5
0,U1580,AO221X1,((net_2215 & net_386) | ((net_2216 & net_805) | net_2217)),"['net_2215', 'net_2216', 'net_2217', 'net_386', 'net_805']","[0.1875, 0.1875, 0.5625, 0.1875, 0.1875]",0.2625,0.1875,5
