,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U1553,NAND2X0,((! ((! net_1877) & (! net_2603))) | (! net_2)),"['net_1877', 'net_2', 'net_2603']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U1554,NAND2X0,((! ((! net_1877) & (! net_2603))) | (! net_2)),"['net_1877', 'net_2', 'net_2603']","[0.25, 0.25, 0.25]",0.25,0.25,3
0,U1555,NAND3X0,((! (! net_2618)) | ((! ((! net_1855) | (! net_2318))) | (! net_2))),"['net_1855', 'net_2', 'net_2318', 'net_2618']","[0.125, 0.375, 0.125, 0.375]",0.25,0.25,4
0,U1556,AO222X1,(((net_2252 & net_2284) & net_957) | (((! net_2273) & net_792) | (((! net_2253) & net_2252) & (! net_2467)))),"['net_2252', 'net_2253', 'net_2273', 'net_2284', 'net_2467', 'net_792', 'net_957']","[0.328125, 0.140625, 0.390625, 0.140625, 0.140625, 0.390625, 0.140625]",0.23883928571428573,0.140625,7
0,U1557,AND4X1,((! net_2493) & ((! net_2492) & ((net_1517 & net_2277) & ((! net_2490) & (! net_423))))),"['net_1517', 'net_2277', 'net_2490', 'net_2492', 'net_2493', 'net_423']","[0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",0.03125,0.03125,6
0,U1558,AND4X1,((! net_2491) & ((! net_2490) & (((! net_2492) & (! net_422)) & (net_1517 & net_2277)))),"['net_1517', 'net_2277', 'net_2490', 'net_2491', 'net_2492', 'net_422']","[0.03125, 0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",0.03125,0.03125,6
0,U1559,AND2X1,((net_425 & (net_1561 & net_2488)) & ((! net_2489) & (! net_420))),"['net_1561', 'net_2488', 'net_2489', 'net_420', 'net_425']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625]",0.0625,0.0625,5
0,U1560,NAND4X0,((! ((! net_2253) & (! net_2483))) | ((! (! net_2488)) | ((! ((net_1447 & ((! net_2489) & (! net_420))) | (net_2290 & net_2484))) | (! ((! net_2489) & (! net_420)))))),"['net_1447', 'net_2253', 'net_2290', 'net_2483', 'net_2484', 'net_2488', 'net_2489', 'net_420']","[0.0234375, 0.0390625, 0.0078125, 0.0390625, 0.0078125, 0.0390625, 0.0390625, 0.0390625]",0.029296875,0.0390625,8
0,U1561,AOI222X1,(((! ((! net_2187) & net_2274)) | (! net_736)) & (((! (net_2282 & net_2285)) | (! (! net_2457))) & ((! ((! net_2188) & net_2275)) | (! net_623)))),"['net_2187', 'net_2188', 'net_2274', 'net_2275', 'net_2282', 'net_2285', 'net_2457', 'net_623', 'net_736']","[0.19140625, 0.19140625, 0.19140625, 0.19140625, 0.19140625, 0.19140625, 0.19140625, 0.19140625, 0.19140625]",0.19140625,0.19140625,9
0,U1562,INVX0,(! ((! net_1475) | (! net_2542))),"['net_1475', 'net_2542']","[0.5, 0.5]",0.5,0.5,2
