,GATE_NAME,GATE_TYPE,BOOL_FUNC,VARIABLES,CONTROL_VECTOR,MEAN,MEDIAN,SIZE
0,U5132,OA22X1,((net_2 | (! ((! (net_4586 & (net_7198 | (net_7154 & net_7155)))) | ((! ((net_4570 | net_6592) & (net_4616 | net_7162))) | ((! ((net_3183 | net_4574) & (net_4617 | net_6852))) | (! ((net_4597 | net_6835) & ((net_4573 | net_6523) & (net_4598 | net_6624))))))))) & (((! (net_2888 & ((! net_6537) | (! net_6682)))) & (! (! (! net_7669)))) | ((! net_6624) & (! (! (! net_7668)))))),"['net_2', 'net_2888', 'net_3183', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_6523', 'net_6537', 'net_6592', 'net_6624', 'net_6682', 'net_6835', 'net_6852', 'net_7154', 'net_7155', 'net_7162', 'net_7198', 'net_7668', 'net_7669']","[0.4622, 0.1471, 0.0055, 0.0044, 0.0063, 0.0083, 0.0201, 0.0051, 0.0096, 0.0071, 0.0051, 0.005, 0.048, 0.008, 0.1839, 0.049, 0.006, 0.0065, 0.0031, 0.0047, 0.0047, 0.01, 0.1764, 0.2556]",0.06007083333333334,0.00755,24
0,U5133,OA22X1,((net_2 | (! ((! (net_4586 & (net_7198 | (net_4622 & net_4623)))) | ((! ((net_4570 | net_6562) & (net_4616 | net_6709))) | ((! ((net_3199 | net_4574) & (net_4617 | net_6699))) | (! ((net_1389 | net_4597) & ((net_1767 | net_4598) & (net_4573 | net_6702))))))))) & ((! ((! net_6842) | (! (! net_7855)))) | ((! (! (! net_7682))) & net_1767))),"['net_1389', 'net_1767', 'net_2', 'net_3199', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_4622', 'net_4623', 'net_6562', 'net_6699', 'net_6702', 'net_6709', 'net_6842', 'net_7198', 'net_7682', 'net_7855']","[0.0081, 0.1992, 0.4093, 0.0068, 0.0064, 0.0077, 0.0057, 0.0202, 0.0071, 0.0035, 0.0064, 0.007, 0.0049, 0.0041, 0.0059, 0.0064, 0.0064, 0.0082, 0.1943, 0.0141, 0.2096, 0.1987]",0.060909090909090906,0.007050000000000001,22
0,U5134,OA221X1,((! (! (! net_7816))) & ((net_1042 | net_1289) & (net_2 | (! ((! (net_4586 & ((net_4630 | net_7198) & (net_4631 | net_7197)))) | ((! ((net_4570 | net_6524) & (net_4616 | net_7160))) | ((! ((net_3187 | net_4574) & (net_4617 | net_6850))) | (! ((net_4597 | net_6847) & ((net_4573 | net_6491) & (net_4598 | net_6630))))))))))),"['net_1042', 'net_1289', 'net_2', 'net_3187', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_4630', 'net_4631', 'net_6491', 'net_6524', 'net_6630', 'net_6847', 'net_6850', 'net_7160', 'net_7197', 'net_7198', 'net_7816']","[0.1329, 0.1272, 0.3664, 0.0054, 0.0041, 0.0055, 0.0036, 0.0142, 0.0046, 0.0035, 0.0043, 0.0042, 0.0055, 0.0045, 0.0046, 0.0043, 0.0056, 0.0041, 0.0051, 0.0047, 0.0036, 0.0053, 0.3762]",0.0478,0.0047,23
0,U5135,OA221X1,((! (! (! net_7845))) & ((net_1957 | net_2481) & (net_2 | (! ((! ((net_4560 | net_6556) & ((net_4557 | net_4558) & (net_4559 | net_6698)))) | ((! (net_7198 | (net_4561 & net_4563))) | ((! ((net_3191 | net_4574) & (net_4573 | net_6856))) | (! ((net_4572 | net_6623) & ((net_4570 | net_6853) & (net_4571 | net_6528))))))))))),"['net_1957', 'net_2', 'net_2481', 'net_3191', 'net_4557', 'net_4558', 'net_4559', 'net_4560', 'net_4561', 'net_4563', 'net_4570', 'net_4571', 'net_4572', 'net_4573', 'net_4574', 'net_6528', 'net_6556', 'net_6623', 'net_6698', 'net_6853', 'net_6856', 'net_7198', 'net_7845']","[0.1272, 0.3548, 0.1286, 0.0087, 0.0067, 0.0089, 0.0071, 0.0088, 0.0058, 0.0044, 0.0072, 0.0077, 0.0077, 0.0062, 0.0062, 0.0088, 0.0077, 0.0063, 0.008, 0.0076, 0.0081, 0.0142, 0.3958]",0.050108695652173914,0.0077,23
0,U5136,OA221X1,((! (! (! net_7843))) & ((net_2 | (! ((! (net_4586 & ((net_4559 | net_6558) & (net_4560 | net_6693)))) | ((! (net_7198 | (net_4587 & net_4588))) | ((! ((net_3194 | net_4574) & (net_4573 | net_6855))) | (! ((net_4572 | net_6511) & ((net_4570 | net_6710) & (net_4571 | net_6559))))))))) & (net_2909 | net_6732))),"['net_2', 'net_2909', 'net_3194', 'net_4559', 'net_4560', 'net_4570', 'net_4571', 'net_4572', 'net_4573', 'net_4574', 'net_4586', 'net_4587', 'net_4588', 'net_6511', 'net_6558', 'net_6559', 'net_6693', 'net_6710', 'net_6732', 'net_6855', 'net_7198', 'net_7843']","[0.3575, 0.1286, 0.0062, 0.0057, 0.0047, 0.0053, 0.0067, 0.0054, 0.0059, 0.0059, 0.0155, 0.0031, 0.0027, 0.0071, 0.005, 0.0046, 0.0062, 0.0057, 0.1291, 0.0056, 0.0095, 0.3861]",0.05055,0.0059,22
0,U5137,OA221X1,((! (! (! net_7816))) & ((net_1490 | net_2126) & (net_2 | (! ((! (net_4586 & (net_7198 | (net_7154 & net_7155)))) | ((! ((net_4570 | net_6592) & (net_4616 | net_7162))) | ((! ((net_3183 | net_4574) & (net_4617 | net_6852))) | (! ((net_4597 | net_6835) & ((net_4573 | net_6523) & (net_4598 | net_6624))))))))))),"['net_1490', 'net_2', 'net_2126', 'net_3183', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_6523', 'net_6592', 'net_6624', 'net_6835', 'net_6852', 'net_7154', 'net_7155', 'net_7162', 'net_7198', 'net_7816']","[0.1322, 0.3616, 0.129, 0.0057, 0.0051, 0.0049, 0.0036, 0.0155, 0.0056, 0.0059, 0.0052, 0.0064, 0.0061, 0.0059, 0.0056, 0.0059, 0.0054, 0.0034, 0.0032, 0.0061, 0.0092, 0.3859]",0.050790909090909095,0.0059,22
0,U5138,OA221X1,((! (! (! net_7816))) & ((net_2 | (! ((! (net_4586 & (net_7198 | (net_4622 & net_4623)))) | ((! ((net_4570 | net_6562) & (net_4616 | net_6709))) | ((! ((net_3199 | net_4574) & (net_4617 | net_6699))) | (! ((net_1389 | net_4597) & ((net_1767 | net_4598) & (net_4573 | net_6702))))))))) & (net_2213 | net_6869))),"['net_1389', 'net_1767', 'net_2', 'net_2213', 'net_3199', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_4622', 'net_4623', 'net_6562', 'net_6699', 'net_6702', 'net_6709', 'net_6869', 'net_7198', 'net_7816']","[0.0044, 0.0048, 0.3695, 0.1304, 0.0051, 0.0039, 0.005, 0.0064, 0.0137, 0.0049, 0.0056, 0.0054, 0.0049, 0.0031, 0.0031, 0.0054, 0.0052, 0.0061, 0.0047, 0.1286, 0.0086, 0.3922]",0.050954545454545454,0.0053,22
0,U5139,OA221X1,((! (! (! net_7816))) & ((net_2 | (! ((! (net_4586 & (net_7198 | (net_4610 & net_4611)))) | ((! ((net_1365 | net_4571) & (net_1443 | net_4572))) | ((! ((net_3203 | net_4574) & (net_4617 | net_6851))) | (! ((net_3805 | net_4597) & ((net_4598 | net_6502) & (net_4616 | net_6708))))))))) & (net_2116 | net_3111))),"['net_1365', 'net_1443', 'net_2', 'net_2116', 'net_3111', 'net_3203', 'net_3805', 'net_4571', 'net_4572', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4610', 'net_4611', 'net_4616', 'net_4617', 'net_6502', 'net_6708', 'net_6851', 'net_7198', 'net_7816']","[0.0042, 0.0045, 0.3569, 0.1282, 0.1338, 0.0054, 0.0055, 0.0061, 0.0051, 0.0042, 0.0168, 0.0051, 0.0045, 0.0036, 0.0033, 0.0052, 0.0051, 0.0053, 0.0044, 0.0057, 0.0106, 0.396]",0.05088636363636364,0.0052499999999999995,22
0,U5140,OA22X1,((net_2 | (! ((! (net_4586 & (net_7198 | (net_7154 & net_7155)))) | ((! ((net_4570 | net_6592) & (net_4616 | net_7162))) | ((! ((net_3183 | net_4574) & (net_4617 | net_6852))) | (! ((net_4597 | net_6835) & ((net_4573 | net_6523) & (net_4598 | net_6624))))))))) & (((! (net_2766 & ((! net_6538) | (! net_6681)))) & (! (! (! net_7669)))) | ((! net_6835) & (! (! (! net_7669)))))),"['net_2', 'net_2766', 'net_3183', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_6523', 'net_6538', 'net_6592', 'net_6624', 'net_6681', 'net_6835', 'net_6852', 'net_7154', 'net_7155', 'net_7162', 'net_7198', 'net_7669']","[0.3866, 0.0957, 0.005, 0.0048, 0.0057, 0.0049, 0.0162, 0.0062, 0.0053, 0.0038, 0.0045, 0.0057, 0.0331, 0.0046, 0.0053, 0.0348, 0.098, 0.0052, 0.003, 0.0032, 0.0058, 0.0108, 0.422]",0.05087826086956521,0.0057,23
0,U5141,OA22X1,((net_2 | (! ((! (net_4586 & (net_7198 | (net_4622 & net_4623)))) | ((! ((net_4570 | net_6562) & (net_4616 | net_6709))) | ((! ((net_3199 | net_4574) & (net_4617 | net_6699))) | (! ((net_1389 | net_4597) & ((net_1767 | net_4598) & (net_4573 | net_6702))))))))) & (((! net_2725) & (! (! (! net_7669)))) | ((! (! (! net_7682))) & net_1389))),"['net_1389', 'net_1767', 'net_2', 'net_2725', 'net_3199', 'net_4570', 'net_4573', 'net_4574', 'net_4586', 'net_4597', 'net_4598', 'net_4616', 'net_4617', 'net_4622', 'net_4623', 'net_6562', 'net_6699', 'net_6702', 'net_6709', 'net_7198', 'net_7669', 'net_7682']","[0.2047, 0.0076, 0.4184, 0.1962, 0.007, 0.0065, 0.0085, 0.0075, 0.0205, 0.0025, 0.0069, 0.0066, 0.005, 0.0056, 0.0045, 0.0058, 0.0081, 0.0065, 0.0075, 0.0135, 0.1921, 0.1978]",0.060877272727272724,0.0075,22
